,titre,link,speech_type,prenom,nom,date,theme,fonct,unique_id
617,"Interview de Mme Sibeth Ndiaye, secrétaire d’Etat, porte-parole du Gouvernement, à Europe 1 le 12 septembre 2019, sur la mise en examen de M. Richard Ferrand dans l'affaire dite des Mutuelles de Bretagne.",https://www.vie-publique.fr/discours/270734-sibeth-ndiaye-12092019-affaire-mutuelles-de-bretagne,Interview,Sibeth,Ndiaye,2019-09-12T12:00:00Z,INSTITUTIONS,"Secrétaire d’Etat, porte-parole du Gouvernement",270734
618,"Déclaration conjointe de la France, de l'Allemagne, de l'Espagne, de l'Italie et du Royaume-Uni sur les annonces par Israël d'une possible annexion de zones de la Cisjordanie, le 12 septembre 2019.",https://www.vie-publique.fr/discours/270430-ministere-de-leurope-et-des-affaires-etrangeres-12092019-cisjordanie,Déclaration,Ministère,de l'Europe et des Affaires étrangères,2019-09-12T12:00:00Z,INTERNATIONAL,,270430
619,"Interview de M. Sébastien Lecornu, ministre chargé des collectivités territoriales, à LCI le 12 septembre 2019, sur la mise en examen du président de l'Assemblée nationale, les agressions contre les maires et les municipales de 2020.",https://www.vie-publique.fr/discours/270572-sebastien-lecornu-12092019-maire,Interview,Sébastien,Lecornu,2019-09-12T12:00:00Z,INSTITUTIONS,Ministre chargé des collectivités territoriales Elisabeth Matichoux,270572
620,"Interview de Mme Jacqueline Gourault, ministre de la cohésion des territoires et des relations avec les collectivités territoriales, à France Info le 12 septembre 2019, sur la mise en examen de Richard Ferrand et le Modem.",https://www.vie-publique.fr/discours/270571-jacqueline-gourault-12092019-mise-en-examen-ferrand-affaires-modem,Interview,Jacqueline,Gourault,2019-09-12T12:00:00Z,INSTITUTIONS,Ministre de la cohésion des territoires et des relations avec les collectivités territoriales Marc Fauvelle,270571
621,"Déclaration de Mme Florence Parly, ministre des armées, sur le sport et les armées, à Fontainebleau le 12 septembre 2019",https://www.vie-publique.fr/discours/270429-florence-parly-12092019-sport,Déclaration,Florence,Parly,2019-09-12T12:00:00Z,INTERNATIONAL,Ministre des armées,270429
622,"Déclaration de M. Bruno Le Maire, ministre de l'économie et des finances, sur la loi PACTE, à Paris le 12 septembre 2019.",https://www.vie-publique.fr/discours/270413-bruno-le-maire-12092019-loi-pacte,Déclaration,Bruno,Le Maire,2019-09-12T12:00:00Z,ECONOMIE,Ministre de l'économie et des finances,270413
623,"Interview de Mme Agnès Buzyn, ministre des solidarités et de la santé à LCI le 11 septembre 2019, sur la réforme des urgences médicales et l'accueil dans les hôpitaux.",https://www.vie-publique.fr/discours/272900-agnes-buzyn-11092019-urgences-hospitalieres-et-accueil-hopital,Interview,Agnès,Buzyn,2019-09-11T12:00:00Z,SOCIÉTÉ,Ministre des solidarités et de la santé,272900
624,"Interview de Mme Emmanuelle Wargon, secrétaire d'État auprès de la ministre de la transition écologique et solidaire, à Sud Radio le 11 septembre 2019, sur la rénovation thermique des bâtiments, la sécheresse et l'ouverture de la chasse.",https://www.vie-publique.fr/discours/272346-emmanuelle-wargon-11092019-renovation-thermique-batiments-chasse,Interview,Emmanuelle,Wargon,2019-09-11T12:00:00Z,SOCIÉTÉ,Secrétaire d'État auprès de la ministre de la transition écologique et solidaire,272346
625,"Déclaration de M. Jean-Baptiste Lemoyne, secrétaire d'Etat auprès du ministre de l'Europe et des affaires étrangères, en réponse à une question sur les entreprises européennes et le droit américain, au Sénat le 11 juin 2019.",https://www.vie-publique.fr/discours/270456-jean-baptiste-lemoyne-11062019-ue-etats-unis,Déclaration,Jean-Baptiste,Lemoyne,2019-09-11T12:00:00Z,INTERNATIONAL,Secrétaire d'Etat auprès du ministre de l'Europe et des affaires étrangères,270456
626,"Déclaration de Mme Élisabeth Borne, ministre de la transition écologique et solidaire, sur les grandes orientations du projet de loi Énergie et Climat, à l'Assemblée nationale le 11 septembre 2019.",https://www.vie-publique.fr/discours/272394-elisabeth-borne-11092019-projet-de-loi-energie-et-climat,Déclaration,Elisabeth,Borne,2019-09-11T12:00:00Z,ECONOMIE,Ministre de la transition écologique et solidaire,272394
